ID,Region,VISN,AdminParent,StationNumber,MHClinicPhone,MHPhone,Extension,OfficialStationName,POC Email,Status,Modified,Created,AddedToOutbox
97,2,V09,621,621GG,4239261171,423-926-1171,7709,Morristown VA Clinic,laura.rasnake@va.gov,UPDATED,2019-09-18 16:40:56.000,2016-10-14 12:46:22.000,2019-09-20 13:00:21.273
98,2,V09,621,621GJ,4239261171,423-926-1171,7709,Bristol VA Clinic,laura.rasnake@va.gov,UPDATED,2019-09-18 16:41:05.000,2016-10-14 12:47:04.000,2019-09-20 13:00:21.273
99,2,V09,621,621GK,4239261171,423-926-1171,7709,Campbell County VA Clinic,laura.rasnake@va.gov,UPDATED,2019-09-18 16:41:05.000,2016-10-14 12:47:52.000,2019-09-20 13:00:21.273
100,1,V05,688,688,2027458267,202-745-8267,54999,Washington VA Medical Center,valerie.ajuonuma@va.gov,UPDATED,2019-09-08 01:56:16.000,2016-10-14 14:32:38.000,2019-09-20 13:00:21.273
101,5,V21,654,654GA,7753262920,775-326-2920,NULL,Sierra Foothills VA Clinic,david.fitzpatrick@va.gov,PENDING POC,2018-07-27 21:24:05.000,2016-10-14 19:37:00.000,2019-09-20 13:00:21.273
102,5,V21,654,654GB,7753262920,775-326-2920,NULL,Carson Valley VA Clinic,david.fitzpatrick@va.gov,PENDING POC,2018-07-27 21:24:17.000,2016-10-14 19:39:06.000,2019-09-20 13:00:21.273
103,5,V21,654,654,7753262920,775-326-2920,NULL,Ioannis A. Lougaris Veterans' Administration Medical Center,david.fitzpatrick@va.gov,PENDING POC,2018-07-27 21:24:33.000,2016-10-14 19:39:46.000,2019-09-20 13:00:21.273
104,5,V21,654,654GC,7753262920,775-326-2920,NULL,Lahontan Valley VA Clinic,david.fitzpatrick@va.gov,PENDING POC,2018-07-27 19:24:56.000,2016-10-14 19:40:31.000,2019-09-20 13:00:21.273
105,5,V21,654,654GD,7753262920,775-326-2920,NULL,Diamond View VA Clinic,david.fitzpatrick@va.gov,PENDING POC,2018-07-27 21:52:46.000,2016-10-14 19:41:06.000,2019-09-20 13:00:21.273
106,4,V17,674,674,2547784811,254-778-4811,NULL,Olin E. Teague Veterans' Center,thaddeus.lumar@va.gov,UPDATED,2019-09-14 19:48:58.000,2016-10-16 12:20:18.000,2019-09-20 13:00:21.273
107,4,V17,674,674A4,2542973050,254-297-3050,NULL,Doris Miller Department of Veterans Affairs Medical Center,latisha.jackson1@va.gov,UPDATED,2019-08-31 19:46:35.000,2016-10-16 12:23:26.000,2019-09-20 13:00:21.273
108,4,V17,674,674BY,5128234040,512-823-4040,NULL,Austin VA Clinic,amy.stewart5@va.gov,UPDATED,2019-09-15 02:48:32.000,2016-10-16 12:24:54.000,2019-09-20 13:00:21.273
109,4,V17,674,674GA,9037239006,903-723-9006,NULL,Palestine VA Clinic,thaddeus.lumar@va.gov,UPDATED,2019-09-15 02:48:51.000,2016-10-16 13:11:19.000,2019-09-20 13:00:21.273
110,4,V17,674,674GB,3256410568,325-641-0568,NULL,Brownwood VA Clinic,thaddeus.lumar@va.gov,UPDATED,2019-09-15 02:49:46.000,2016-10-16 13:12:12.000,2019-09-20 13:00:21.273
111,4,V17,674,674GC,9796800361,979-680-0361,NULL,Bryan VA Clinic,thaddeus.lumar@va.gov,UPDATED,2019-09-14 19:50:12.000,2016-10-16 13:13:14.000,2019-09-20 13:00:21.273
112,4,V17,674,674GD,5122192340,512-219-2340,NULL,Cedar Park VA Clinic,thaddeus.lumar@va.gov,UPDATED,2019-09-14 19:50:22.000,2016-10-16 13:14:09.000,2019-09-20 13:00:21.273
113,1,V02,630,630,2126867500,212-686-7500,4656,Manhattan VA Medical Center,karen.roe@va.gov,UPDATED,2019-08-05 01:00:25.000,2016-10-17 07:38:58.000,2019-09-20 13:00:21.273
114,1,V02,630,630A4,7188366600,718-836-6600,4165,Brooklyn VA Medical Center,regina.pierce@va.gov,UPDATED,2019-09-15 01:01:46.000,2016-10-17 07:39:47.000,2019-09-20 13:00:21.273
115,1,V02,630,630A5,7188366600,718-836-6600,4165,St. Albans VA Medical Center,regina.pierce@va.gov,UPDATED,2019-09-17 10:17:46.000,2016-10-17 07:40:31.000,2019-09-20 13:00:21.273
116,1,V02,630,630GA,2126867500,212-686-7500,4656,Harlem VA Clinic,karen.roe@va.gov,UPDATED,2019-09-02 01:05:27.000,2016-10-17 07:40:59.000,2019-09-20 13:00:21.273
117,1,V02,630,630GB,7188366600,718-836-6600,4165,Staten Island Community VA Clinic,regina.pierce@va.gov,UPDATED,2019-09-17 10:17:46.000,2016-10-17 07:41:57.000,2019-09-20 13:00:21.273
118,3,V10,553,553,3135761000,313-576-1000,61051,John D. Dingell Department of Veterans Affairs Medical Center,nicole.stromberg@va.gov,UPDATED,2019-09-18 17:11:39.000,2016-10-17 07:46:20.000,2019-09-20 13:00:21.273
119,2,V07,534,534,8437897311,843-789-7311,NULL,Ralph H. Johnson Department of Veterans Affairs Medical Center,wendy.davis@va.gov,UPDATED,2019-09-18 15:05:17.000,2016-10-17 08:54:46.000,2019-09-20 13:00:21.273
120,4,V16,502,502,3184662455,318-466-2455,NULL,Alexandria VA Medical Center,michael.roach@va.gov,UPDATED,2019-09-14 19:21:06.000,2016-10-17 08:55:45.000,2019-09-20 13:00:21.273
121,4,V16,502,502GA,3377854700,337-785-4700,3,Jennings VA Clinic,michael.roach@va.gov,UPDATED,2019-09-15 02:26:19.000,2016-10-17 08:56:26.000,2019-09-20 13:00:21.273
122,2,V07,534,534BY,8437897311,843-789-7311,NULL,Savannah VA Clinic,wendy.davis@va.gov,UPDATED,2019-09-18 15:05:16.000,2016-10-17 08:57:19.000,2019-09-20 13:00:21.273
123,4,V16,502,502GB,3377061940,337-706-1940,3,Lafayette VA Clinic,michael.roach@va.gov,UPDATED,2019-09-14 19:21:30.000,2016-10-17 08:57:21.000,2019-09-20 13:00:21.273
124,4,V16,502,502GF,3373923800,337-392-3800,3,Fort Polk VA Clinic,michael.roach@va.gov,UPDATED,2019-09-14 19:21:30.000,2016-10-17 08:57:57.000,2019-09-20 13:00:21.273
125,3,V15,589,589A7,3166513621,316-651-3621,NULL,Robert J. Dole Department of Veterans Affairs Medical and Regional Office Center,donna.cox@va.gov,PENDING POC,2019-05-17 21:45:45.000,2016-10-17 08:58:27.000,2019-09-20 13:00:21.273
126,4,V16,502,502GG,3183573300,318-357-3300,3,Natchitoches VA Clinic,michael.roach@va.gov,UPDATED,2019-09-14 19:21:30.000,2016-10-17 08:59:01.000,2019-09-20 13:00:21.273
127,2,V07,534,534GB,8437897311,843-789-7311,NULL,Myrtle Beach VA Clinic,wendy.davis@va.gov,UPDATED,2019-09-18 15:05:18.000,2016-10-17 08:59:05.000,2019-09-20 13:00:21.273
128,2,V07,534,534GC,8437897311,843-789-7311,NULL,Beaufort VA Clinic,wendy.davis@va.gov,UPDATED,2019-09-18 15:02:21.000,2016-10-17 09:07:24.000,2019-09-20 13:00:21.273
129,2,V07,534,534GD,8437897311,843-789-7311,NULL,Goose Creek VA Clinic,wendy.davis@va.gov,UPDATE DUE,2019-09-18 14:55:49.000,2016-10-17 09:09:21.000,2019-09-20 13:00:21.273
130,2,V07,534,534GE,8437897311,843-789-7311,NULL,Hinesville VA Clinic,wendy.davis@va.gov,UPDATED,2019-09-18 15:05:17.000,2016-10-17 09:10:39.000,2019-09-20 13:00:21.273
131,2,V07,534,534QC,8437897311,843-789-7311,NULL,Charleston VA Clinic,wendy.davis@va.gov,UPDATED,2019-09-11 15:01:26.000,2016-10-17 09:11:27.000,2019-09-20 13:00:21.273
132,2,V09,626,626GA,6158737450,615-873-7450,NULL,Dover VA Clinic,shiney.gibbs@va.gov,UPDATE DUE,2019-09-18 16:46:03.000,2016-10-17 09:11:30.000,2019-09-20 13:00:21.273
133,2,V09,626,626,6158738293,615-873-8293,NULL,Nashville VA Medical Center,amy.drake@va.gov,UPDATED,2019-09-18 16:41:23.000,2016-10-17 09:14:56.000,2019-09-20 13:00:21.273
134,3,V10,538,538,7407731141,740-773-1141,7871,Chillicothe VA Medical Center,robert.taylor4@va.gov,UPDATED,2019-09-16 01:07:02.000,2016-10-17 09:18:19.000,2019-09-20 13:00:21.273
135,2,V09,626,626A4,6152253638,615-225-3638,NULL,Alvin C. York Veterans' Administration Medical Center,amy.drake@va.gov,UPDATED,2019-09-08 02:20:21.000,2016-10-17 09:18:34.000,2019-09-20 13:00:21.273
136,2,V09,626,626GC,6158737450,615-873-7450,NULL,Bowling Green VA Clinic,shiney.gibbs@va.gov,UPDATE DUE,2019-09-18 16:36:48.000,2016-10-17 09:19:42.000,2019-09-20 13:00:21.273
137,2,V09,626,626GE,6158737450,615-873-7450,NULL,Clarksville VA Clinic,shiney.gibbs@va.gov,UPDATE DUE,2019-09-18 16:40:58.000,2016-10-17 09:20:25.000,2019-09-20 13:00:21.273
138,2,V09,626,626GF,4238936500,423-893-6500,NULL,Chattanooga VA Clinic,shiney.gibbs@va.gov,UPDATE DUE,2019-09-18 16:43:20.000,2016-10-17 09:21:45.000,2019-09-20 13:00:21.273
139,2,V09,626,626GG,6158737450,615-873-7450,NULL,Tullahoma VA Clinic,shiney.gibbs@va.gov,UPDATE DUE,2019-09-18 16:46:03.000,2016-10-17 09:23:05.000,2019-09-20 13:00:21.273
140,2,V09,626,626GH,6158737450,615-873-7450,NULL,Cookeville VA Clinic,shiney.gibbs@va.gov,UPDATE DUE,2019-09-18 16:46:03.000,2016-10-17 09:23:48.000,2019-09-20 13:00:21.273
141,2,V09,626,626GJ,6158737450,615-873-7450,NULL,Hopkinsville VA Clinic,shiney.gibbs@va.gov,UPDATE DUE,2019-09-18 16:43:20.000,2016-10-17 09:24:18.000,2019-09-20 13:00:21.273
142,2,V09,626,626GK,6158737450,615-873-7450,NULL,McMinnville VA Clinic,shiney.gibbs@va.gov,UPDATE DUE,2019-09-18 16:46:05.000,2016-10-17 09:27:52.000,2019-09-20 13:00:21.273
143,2,V09,626,626GL,6158737450,615-873-7450,NULL,Roane County VA Clinic,shiney.gibbs@va.gov,UPDATE DUE,2019-09-18 16:43:20.000,2016-10-17 09:28:25.000,2019-09-20 13:00:21.273
144,2,V09,626,626GM,9319816930,931-981-6930,NULL,Maury County VA Clinic,shiney.gibbs@va.gov,UPDATE DUE,2019-09-18 16:46:03.000,2016-10-17 09:28:55.000,2019-09-20 13:00:21.273
145,2,V09,626,626GN,6158737450,615-873-7450,NULL,Athens VA Clinic,shiney.gibbs@va.gov,UPDATE DUE,2019-09-18 16:51:27.000,2016-10-17 09:29:28.000,2019-09-20 13:00:21.273
146,4,V16,629,629,5045072000,504-507-2000,65148,New Orleans VA Medical Center,"william.hill6@va.gov ",UPDATED,2019-08-31 19:40:20.000,2016-10-17 09:47:07.000,2019-09-20 13:00:21.273
147,4,V16,667,667,3189905051,318-990-5051,NULL,Overton Brooks Veterans' Administration Medical Center,kelly.herpin@va.gov,UPDATE DUE,2019-09-15 02:26:09.000,2016-10-17 10:20:31.000,2019-09-20 13:00:21.273
148,4,V16,667,667GA,8707792734,870-779-2734,NULL,Texarkana VA Clinic,kelly.herpin@va.gov,UPDATE DUE,2019-09-14 19:40:23.000,2016-10-17 10:22:44.000,2019-09-20 13:00:21.273
149,4,V16,667,667GB,3189987871,318-998-7871,NULL,Monroe VA Clinic,kelly.herpin@va.gov,UPDATE DUE,2019-09-14 19:40:42.000,2016-10-17 10:23:24.000,2019-09-20 13:00:21.273
150,4,V16,667,667GC,9032483449,903-248-3449,NULL,Longview VA Clinic,kelly.herpin@va.gov,UPDATE DUE,2019-09-14 19:40:28.000,2016-10-17 10:24:19.000,2019-09-20 13:00:21.273
151,1,V02,528,528A6,6076644300,607-664-4300,NULL,Bath VA Medical Center,beth.hutcheson@va.gov,UPDATED,2019-09-16 08:27:24.000,2016-10-17 10:48:18.000,2019-09-20 13:00:21.273
152,2,V09,596,596,8592334511,859-233-4511,3223,Lexington VA Medical Center-Leestown,rebecca.willis-nichols@va.gov,UPDATED,2019-09-18 16:36:40.000,2016-10-17 10:57:40.000,2019-09-20 13:00:21.273
153,4,V19,436,436,4064476000,406-447-6000,NULL,Fort Harrison VA Medical Center,gail.cox@va.gov,UPDATED,2019-09-15 02:36:20.000,2016-10-17 11:32:56.000,2019-09-20 13:00:21.273
154,3,V15,589,589A4,5738146000,573-814-6000,56486,Harry S. Truman Memorial Veterans' Hospital,janice.driskill@va.gov,UPDATED,2019-09-12 18:15:14.000,2016-10-17 12:15:28.000,2019-09-20 13:00:21.273
155,1,V04,646,646,4123606600,412-360-6600,NULL,Pittsburgh VA Medical Center-University Drive,rachel.crofutt@va.gov,PENDING POC,2018-07-27 21:43:31.000,2016-10-17 12:19:40.000,2019-09-20 13:00:21.273
156,4,V17,549,549,2148570805,214-857-0805,NULL,Dallas VA Medical Center,joy.williams2@va.gov,UPDATE DUE,2019-09-14 19:45:44.000,2016-10-17 12:24:30.000,2019-09-20 13:00:21.273
157,4,V17,549,549A4,9035836241,903-583-6241,NULL,Sam Rayburn Memorial Veterans Center,joy.williams2@va.gov,UPDATE DUE,2019-09-14 19:40:24.000,2016-10-17 12:25:36.000,2019-09-20 13:00:21.273
158,4,V17,549,549BY,8177300103,817-730-0103,NULL,Fort Worth VA Clinic,joy.williams2@va.gov,UPDATE DUE,2019-09-14 19:45:45.000,2016-10-17 12:26:55.000,2019-09-20 13:00:21.273
159,4,V17,549,549GA,9035903050,903-590-3050,NULL,Tyler VA Clinic,"joy.williams2@va.gov ",UPDATE DUE,2019-09-15 02:51:05.000,2016-10-17 12:28:29.000,2019-09-20 13:00:21.273
160,4,V17,549,549GD,2148573575,214-857-3575,NULL,Denton VA Clinic,joy.williams2@va.gov,UPDATED,2019-08-25 02:41:26.000,2016-10-17 12:29:57.000,2019-09-20 13:00:21.273
161,4,V17,549,549GJ,2148570805,214-857-0805,NULL,Sherman VA Clinic,joy.williams2@va.gov,UPDATE DUE,2019-09-15 02:50:30.000,2016-10-17 12:31:35.000,2019-09-20 13:00:21.273
162,4,V17,549,549GL,9728014200,972-801-4200,NULL,Plano VA Clinic,joy.williams2@va.gov,UPDATE DUE,2019-09-14 19:45:41.000,2016-10-17 12:32:42.000,2019-09-20 13:00:21.273
163,4,V17,549,549GE,9406277001,940-627-7001,NULL,Bridgeport VA Clinic,joy.williams2@va.gov,UPDATE DUE,2019-09-15 02:50:27.000,2016-10-17 12:33:19.000,2019-09-20 13:00:21.273
164,3,V10,541,541,2167913800,216-791-3800,1035,Louis Stokes Cleveland Department of Veterans Affairs Medical Center,melissa.carrish@va.gov,UPDATED,2019-09-18 17:01:17.000,2016-10-17 12:55:11.000,2019-09-20 13:00:21.273
165,5,V20,653,653,5414401257,541-440-1257,NULL,Roseburg VA Medical Center,charity.mcsperitt@va.gov,PENDING POC,2019-05-17 22:15:57.000,2016-10-17 12:59:45.000,2019-09-20 13:00:21.273
166,2,V08,672,672,7876417582,787-641-7582,12355,San Juan VA Medical Center,lillian.arroyo@va.gov;rosa.ramirez-mella@va.gov;jari.moreno-sanchez@va.gov,UPDATE DUE,2019-09-13 22:35:48.000,2016-10-17 13:30:39.000,2019-09-20 13:00:21.273
167,2,V08,672,672BZ,7876417582,787-641-7582,48100,Mayaguez VA Clinic,maria.ramirez-mella@va.gov,UPDATE DUE,2019-09-11 16:32:10.000,2016-10-17 13:31:29.000,2019-09-20 13:00:21.273
168,2,V08,672,672GC,7876417582,787-641-7582,28667,Arecibo VA Clinic,hazel.toledo-espiet@va.gov,UPDATE DUE,2019-09-15 02:16:51.000,2016-10-17 13:32:25.000,2019-09-20 13:00:21.273
169,2,V08,672,672GD,7875222662,787-522-2662,NULL,Ceiba VA Clinic,pablo.lopez-rivera@va.gov,UPDATE DUE,2019-09-06 21:56:17.000,2016-10-17 13:33:06.000,2019-09-20 13:00:21.273
170,4,V16,580,580,7137947561,713-794-7561,NULL,Michael E. DeBakey Department of Veterans Affairs Medical Center,laura.marsh2@va.gov,UPDATED,2019-09-15 02:26:54.000,2016-10-17 13:34:03.000,2019-09-20 13:00:21.273
171,2,V09,603,603,5022876110,502-287-6110,NULL,Robley Rex Department of Veterans Affairs Medical Center,kristia.kaufman@va.gov,PENDING POC,2018-07-27 21:57:45.000,2016-10-17 13:34:14.000,2019-09-20 13:00:21.273
172,2,V08,672,672GE,7878668886,787-866-8886,28003,Guayama VA Clinic,maria.rodriguez-rosario@va.gov,UPDATED,2019-09-13 22:35:45.000,2016-10-17 13:34:47.000,2019-09-20 13:00:21.273
173,2,V08,672,672B0,7876417582,787-641-7582,44186,Euripides Rubio Department of Veterans Affairs Outpatient Clinic,carlos.dejesus-santos@va.gov,UPDATE DUE,2019-09-18 16:31:26.000,2016-10-17 13:38:27.000,2019-09-20 13:00:21.273
174,2,V09,603,603GH,5022876060,502-287-6060,NULL,Carrollton VA Clinic,kristia.kaufman@va.gov,PENDING POC,2018-07-27 21:48:03.000,2016-10-17 13:38:59.000,2019-09-20 13:00:21.273
175,2,V09,603,603GF,2702420629,270-242-0629,NULL,Grayson County VA Clinic,kristia.kaufman@va.gov,PENDING POC,2018-07-27 21:58:49.000,2016-10-17 13:40:29.000,2019-09-20 13:00:21.273
176,2,V09,603,603GA,5026240235,502-624-0235,NULL,Fort Knox VA Clinic,kristia.kaufman@va.gov,PENDING POC,2018-07-27 19:25:05.000,2016-10-17 13:41:10.000,2019-09-20 13:00:21.273
177,2,V09,603,603GB,5022874100,502-287-4100,NULL,New Albany VA Clinic,kristia.kaufman@va.gov,PENDING POC,2018-07-27 19:23:57.000,2016-10-17 13:41:45.000,2019-09-20 13:00:21.273
178,2,V09,603,603GE,5022876223,502-287-6223,NULL,Newburg VA Clinic,kristia.kaufman@va.gov,PENDING POC,2018-07-27 21:24:42.000,2016-10-17 13:42:32.000,2019-09-20 13:00:21.273
179,2,V09,603,603GC,5022876000,502-287-6000,NULL,Shively VA Clinic,kristia.kaufman@va.gov,PENDING POC,2018-07-27 21:24:57.000,2016-10-17 13:42:58.000,2019-09-20 13:00:21.273
180,2,V09,603,603GD,5022876187,502-287-6187,NULL,Dupont VA Clinic,kristia.kaufman@va.gov,PENDING POC,2018-07-27 21:57:50.000,2016-10-17 13:43:31.000,2019-09-20 13:00:21.273
181,4,V16,598,598A0,5012573092,501-257-3092,NULL,Eugene J. Towbin Healthcare Center,james.french2@va.gov,UPDATED,2019-08-31 19:45:18.000,2016-10-17 13:46:07.000,2019-09-20 13:00:21.273
182,2,V09,603,603GG,5022876900,502-287-6900,NULL,Scott County VA Clinic,kristia.kaufman@va.gov,PENDING POC,2018-07-27 21:58:09.000,2016-10-17 13:47:07.000,2019-09-20 13:00:21.273
183,3,V12,550,550,2175545794,217-554-5794,NULL,Danville VA Medical Center,michael.clayton@va.gov,UPDATED,2019-09-18 17:40:56.000,2016-10-17 14:07:01.000,2019-09-20 13:00:21.273
184,1,V02,528,528A5,5853937252,585-393-7252,NULL,Canandaigua VA Medical Center,kevin.whittaker@va.gov,UPDATED,2019-09-16 08:27:39.000,2016-10-17 14:07:43.000,2019-09-20 13:00:21.273
185,5,V20,663,663A4,2535831759,253-583-1759,NULL,American Lake VA Medical Center,richard.tangen@va.gov,UPDATED,2019-09-16 17:56:11.000,2016-10-17 14:26:16.000,2019-09-20 13:00:21.273
186,5,V20,692,692GA,5412736206,541-273-6206,1701,Klamath Falls VA Clinic,casey.mitchell2@va.gov,UPDATED,2019-09-15 02:40:47.000,2016-10-17 14:27:13.000,2019-09-20 13:00:21.273
187,5,V20,663,663,2067642007,206-764-2007,NULL,Seattle VA Medical Center,bianca.kaiwi@va.gov,UPDATED,2019-09-16 17:56:11.000,2016-10-17 14:27:20.000,2019-09-20 13:00:21.273
188,5,V20,692,692GB,5419555551,541-955-5551,1650,Grants Pass VA Clinic,casey.mitchell2@va.gov,UPDATE DUE,2019-09-15 02:51:51.000,2016-10-17 14:27:41.000,2019-09-20 13:00:21.273
189,5,V20,663,663GA,2067642007,206-764-2007,NULL,Bellevue VA Clinic,richard.tangen@va.gov,UPDATED,2019-09-16 17:56:11.000,2016-10-17 14:28:07.000,2019-09-20 13:00:21.273
190,5,V20,663,663GB,2067642007,206-764-2007,NULL,Bremerton VA Clinic,richard.tangen@va.gov,UPDATED,2019-09-16 17:56:11.000,2016-10-17 14:28:42.000,2019-09-20 13:00:21.273
191,5,V20,663,663GC,2067642007,206-764-2007,NULL,Mount Vernon VA Clinic,richard.tangen@va.gov,UPDATED,2019-09-15 02:40:45.000,2016-10-17 14:29:12.000,2019-09-20 13:00:21.273
192,5,V20,692,692,5418262111,541-826-2111,NULL,White City VA Medical Center,erin.andersonfortier@va.gov,UPDATE DUE,2019-09-15 02:51:51.000,2016-10-17 14:29:38.000,2019-09-20 13:00:21.273
193,5,V20,663,663GD,2067642007,206-764-2007,NULL,South Sound VA Clinic,richard.tangen@va.gov,UPDATED,2019-09-16 17:56:11.000,2016-10-17 14:29:56.000,2019-09-20 13:00:21.273
194,1,V04,595,595,7172726621,717-272-6621,4232,Lebanon VA Medical Center,glenn.wikel@va.gov,UPDATED,2019-09-15 02:01:47.000,2016-10-17 14:31:15.000,2019-09-20 13:00:21.273
195,1,V04,595,595GA,7172726621,717-272-6621,4232,Camp Hill VA Clinic,glenn.wikel@va.gov,UPDATED,2019-08-18 01:55:38.000,2016-10-17 14:31:57.000,2019-09-20 13:00:21.273
196,1,V04,595,595GC,7172726621,717-272-6621,4232,Lancaster VA Clinic,glenn.wikel@va.gov,UPDATED,2019-09-15 02:02:43.000,2016-10-17 14:32:35.000,2019-09-20 13:00:21.273
197,1,V04,595,595GD,7172726621,717-272-6621,4232,Berks County VA Clinic,glenn.wikel@va.gov,UPDATED,2019-09-08 02:05:39.000,2016-10-17 14:33:12.000,2019-09-20 13:00:21.273
198,1,V04,595,595GE,7172726621,717-272-6621,4232,York VA Clinic,glenn.wikel@va.gov,UPDATED,2019-09-15 02:05:59.000,2016-10-17 14:35:29.000,2019-09-20 13:00:21.273
199,1,V04,595,595GF,7172726621,717-272-6621,4232,Pottsville VA Clinic,glenn.wikel@va.gov,UPDATED,2019-09-15 02:05:51.000,2016-10-17 14:35:54.000,2019-09-20 13:00:21.273
200,5,V20,668,668,5094347013,509-434-7013,NULL,Mann-Grandstaff Department of Veterans Affairs Medical Center,alaina.taylor2@va.gov,UPDATED,2019-06-15 20:09:08.000,2016-10-17 15:03:09.000,2019-09-20 13:00:21.273
201,5,V20,668,668GB,5094139058,509-413-9058,NULL,Coeur d 'Alene VA Clinic,jason.ryan@va.gov,UPDATED,2019-06-08 20:05:53.000,2016-10-17 15:08:34.000,2019-09-20 13:00:21.273
202,5,V20,668,668GA,5096637615,509-663-7615,5027,Wenatchee VA Clinic,alaina.taylor2@va.gov,UPDATED,2019-07-27 20:10:41.000,2016-10-17 15:15:58.000,2019-09-20 13:00:21.273
203,4,V17,756,756,9155646159,915-564-6159,NULL,El Paso VA Clinic,rebecca.alvarado@va.gov,UPDATE DUE,2019-09-15 02:31:38.000,2016-10-17 15:20:18.000,2019-09-20 13:00:21.273
204,3,V12,585,585,9067743300,906-774-3300,32541,Oscar G. Johnson Department of Veterans Affairs Medical Facility,sharon.anastas@va.gov,UPDATED,2019-09-18 17:55:47.000,2016-10-17 16:23:29.000,2019-09-20 13:00:21.273
205,3,V12,585,585GA,9067743300,906-774-3300,32541,Hancock VA Clinic,sharon.anastas@va.gov,UPDATED,2019-09-18 17:55:45.000,2016-10-17 16:27:59.000,2019-09-20 13:00:21.273
206,3,V12,585,585GB,9067743300,906-774-3300,32541,Rhinelander VA Clinic,sharon.anastas@va.gov,UPDATED,2019-09-15 02:25:30.000,2016-10-17 16:28:34.000,2019-09-20 13:00:21.273
207,3,V12,585,585GC,9067743300,906-774-3300,32541,Menominee VA Clinic,sharon.anastas@va.gov,UPDATED,2019-09-18 17:55:53.000,2016-10-17 16:29:12.000,2019-09-20 13:00:21.273
208,3,V12,585,585GD,9067743300,906-774-3300,32541,Ironwood VA Clinic,sharon.anastas@va.gov,UPDATED,2019-09-15 02:26:05.000,2016-10-17 16:29:44.000,2019-09-20 13:00:21.273
209,3,V12,585,585HA,9067743300,906-774-3300,32541,Marquette VA Clinic,sharon.anastas@va.gov,UPDATED,2019-09-15 02:25:58.000,2016-10-17 16:30:17.000,2019-09-20 13:00:21.273
210,3,V12,585,585HB,9067743300,906-774-3300,32541,Sault Saint Marie VA Clinic,sharon.anastas@va.gov,UPDATED,2019-09-18 17:55:54.000,2016-10-17 16:30:45.000,2019-09-20 13:00:21.273
211,1,V04,642,642,2158234014,215-823-4014,NULL,Corporal Michael J. Crescenz Department of Veterans Affairs Medical Center,dave.oslin@va.gov,UPDATED,2019-09-15 02:06:02.000,2016-10-17 21:39:50.000,2019-09-20 13:00:21.273
212,3,V10,552,552,9372622186,937-262-2186,NULL,Dayton VA Medical Center,Joseph.Augustine@va.gov,UPDATE DUE,2019-09-13 23:01:21.000,2016-10-18 07:49:56.000,2019-09-20 13:00:21.273
213,3,V10,552,552GA,5134238387,513-423-8387,5637,Middletown VA Clinic,tracy.todd@va.gov,UPDATE DUE,2019-09-18 17:00:47.000,2016-10-18 07:57:06.000,2019-09-20 13:00:21.273
214,3,V10,552,552GD,9372622186,937-262-2186,NULL,Springfield VA Clinic,gregory.tucker4@va.gov,UPDATE DUE,2019-09-06 22:35:32.000,2016-10-18 08:08:49.000,2019-09-20 13:00:21.273
215,3,V10,552,552GB,9372622186,937-262-2186,6820,Lima VA Clinic,martha.wagner@va.gov,UPDATE DUE,2019-09-18 17:05:48.000,2016-10-18 08:11:42.000,2019-09-20 13:00:21.273
216,1,V04,693,693,5708243521,570-824-3521,27738,Wilkes-Barre VA Medical Center,john.ziomek@va.gov,UPDATED,2019-09-08 02:07:05.000,2016-10-18 08:14:16.000,2019-09-20 13:00:21.273
217,3,V10,552,552GC,9372622186,937-262-2186,6109,Richmond VA Clinic,janet.norris@va.gov,UPDATE DUE,2019-09-18 17:06:08.000,2016-10-18 08:16:36.000,2019-09-20 13:00:21.273
218,1,V01,405,405,8022959363,802-295-9363,5760,White River Junction VA Medical Center,laura.gibson2@va.gov,UPDATED,2019-09-13 13:46:55.000,2016-10-18 08:51:36.000,2019-09-20 13:00:21.273
219,1,V05,540,540,3046233461,304-623-3461,3551,Louis A. Johnson Veterans' Administration Medical Center,kathy.keener@va.gov,UPDATED,2019-09-01 01:56:08.000,2016-10-18 09:27:30.000,2019-09-20 13:00:21.273
220,1,V05,540,540GB,3046233461,304-623-3461,3551,Wood County VA Clinic,kathy.keener@va.gov,UPDATED,2019-09-18 13:53:42.000,2016-10-18 09:29:12.000,2019-09-20 13:00:21.273
221,1,V05,540,540GC,3046233461,304-623-3461,3551,Braxton County VA Clinic,kathy.keener@va.gov,UPDATED,2019-09-15 02:15:29.000,2016-10-18 09:29:37.000,2019-09-20 13:00:21.273
222,1,V05,540,540GD,3046233461,304-623-3461,3551,Monongalia County VA Clinic,kathy.keener@va.gov,UPDATED,2019-09-18 13:53:43.000,2016-10-18 09:30:03.000,2019-09-20 13:00:21.273
223,3,V15,589,589,8168614700,816-861-4700,52641,Kansas City VA Medical Center,melissa.messina@va.gov,UPDATED,2019-09-14 19:16:07.000,2016-10-18 09:38:47.000,2019-09-20 13:00:21.273
224,3,V12,537,537,3125697225,312-569-7225,NULL,Jesse Brown Department of Veterans Affairs Medical Center,kenneth.lehman@va.gov,UPDATED,2019-09-19 16:01:59.000,2016-10-18 09:43:08.000,2019-09-20 13:00:21.273
225,4,V17,519,519,4322637361,432-263-7361,7301,"George H. O'Brien, Jr., Department of Veterans Affairs Medical Center",mandy.cruz@va.gov,UPDATED,2019-09-15 02:31:39.000,2016-10-18 10:19:39.000,2019-09-20 13:00:21.273
